pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
K2-395 b,K2-395,Transit,2022,K,5007.0,0.783,0.952,-0.033,4.628,286.727,15.131,11.365,14.1559
K2-395 c,K2-395,Transit,2022,K,5007.0,0.783,0.952,-0.033,4.628,286.727,15.131,11.365,14.1559
K2-396 b,K2-396,Transit,2022,G,5236.0,0.92,0.954,0.237,4.488,274.864,13.32,10.811,12.9345
K2-396 c,K2-396,Transit,2022,G,5236.0,0.92,0.954,0.237,4.488,274.864,13.32,10.811,12.9345
K2-397 b,K2-397,Transit,2022,G,5387.0,0.966,0.937,0.11,4.435,199.354,11.865,9.95,11.6421
K2-398 b,K2-398,Transit,2022,G,5946.0,1.239,0.945,-0.257,4.227,606.992,13.287,11.717,13.0091
K2-398 c,K2-398,Transit,2022,G,5946.0,1.239,0.945,-0.257,4.227,606.992,13.287,11.717,13.0091
K2-400 b,K2-400,Transit,2022,M,3578.0,0.382,0.374,-0.051,4.847,62.3804,15.108,10.405,13.9899
K2-401 b,K2-401,Transit,2022,K,4213.0,0.675,0.87,-0.098,4.719,200.727,14.014,11.106,13.6941
K2-402 b,K2-402,Transit,2022,G,5716.0,1.28,0.944,-0.378,4.197,523.055,13.032,11.377,12.836
K2-403 b,K2-403,Transit,2022,G,5511.0,0.886,0.784,-0.162,4.439,246.599,12.305,10.581,12.152
K2-404 b,K2-404,Transit,2022,M,3748.0,0.552,0.552,0.005,4.695,121.63,14.622,10.75,13.8429
K2-405 b,K2-405,Transit,2022,K,4927.0,0.765,1.034,0.132,4.685,197.234,12.816,10.547,12.5911
K2-406 b,K2-406,Transit,2022,G,5784.0,0.961,0.798,-0.038,4.374,85.3751,9.465,8.033,9.49379
K2-407 b,K2-407,Transit,2022,G,5563.0,0.927,0.881,0.014,4.45,218.376,11.969,10.213,11.9956
K2-407 c,K2-407,Transit,2022,G,5563.0,0.927,0.881,0.014,4.45,218.376,11.969,10.213,11.9956
K2-408 b,K2-408,Transit,2022,G,5335.0,0.784,0.813,-0.171,4.559,162.306,12.056,9.978,11.7345
K2-409 b,K2-409,Transit,2022,G,5742.0,1.228,0.886,-0.036,4.204,431.031,12.902,11.038,12.6144
K2-415 b,K2-415,Transit,2023,M,3173.0,0.1965,0.1635,-0.13,5.066,21.8182,15.33,9.899,13.7957
K2-5 b,K2-5,Transit,2015,K,3930.0,0.57,0.61,-0.33,4.71,202.943,14.974,11.595,14.339
K2-5 c,K2-5,Transit,2015,K,3930.0,0.57,0.61,-0.33,4.71,202.943,14.974,11.595,14.339
K2-60 b,K2-60,Transit,2016,G,5500.0,1.12,0.97,0.01,4.07,491.87,12.857,10.993,12.6108
K2-79 b,K2-79,Transit,2016,G,5897.0,1.269,1.06,0.035,4.26,256.011,12.152,9.907,11.8031
K2-8 b,K2-8,Transit,2015,K,4870.0,0.74,0.78,-0.02,4.52,403.513,14.801,12.245,14.3358
K2-8 c,K2-8,Transit,2016,K,4870.0,0.74,0.78,-0.02,4.52,403.513,14.801,12.245,14.3358
K2-9 b,K2-9,Transit,2015,M,3390.0,0.31,0.3,-0.25,4.816,82.9631,15.86,11.495,14.8665
K2-95 b,K2-95,Transit,2016,M,3566.0,0.4,0.41,0.1,4.85,179.854,17.236,12.474,16.0836
K2-98 b,K2-98,Transit,2016,F,6260.0,1.518,1.246,-0.044,4.169,518.625,12.216,10.869,12.0398
K2-99 b,K2-99,Transit,2016,G,6069.0,2.55,1.44,0.2,3.783,519.229,11.149,9.72,10.9485
K2-99 c,K2-99,Radial Velocity,2022,G,6069.0,2.55,1.44,0.2,3.783,519.229,11.149,9.72,10.9485
KELT-10 b,KELT-10,Transit,2016,G,5948.0,1.209,1.112,0.09,4.319,188.404,10.617,9.338,10.7009
KELT-11 b,KELT-11,Transit,2017,G,5375.0,2.69,1.44,0.17,3.7,99.1596,8.04,6.122,7.83112
KELT-14 b,KELT-14,Transit,2016,G,5720.0,1.52,1.239,0.32,4.166,250.121,11.001,9.424,10.8384
KELT-16 b,KELT-16,Transit,2017,F,6236.0,1.36,1.211,-0.002,4.253,444.586,11.717,10.642,11.7959
KELT-17 b,KELT-17,Transit,2016,A,7454.0,1.645,1.635,-0.018,4.22,226.5,9.234,8.646,9.20887
KELT-18 b,KELT-18,Transit,2017,F,6670.0,1.908,1.524,0.09,4.0599,321.376,10.16,9.21,10.1036
KELT-19 A b,KELT-19 A,Transit,2017,A,7500.0,1.83,1.62,-0.12,4.127,300.276,9.857,9.196,9.86331
KELT-2 A b,KELT-2 A,Transit,2012,F,6327.0,1.93,1.54,0.0,4.5,134.058,8.68,7.346,8.58393
KELT-20 b,KELT-20,Transit,2017,A,8720.0,1.565,1.76,-0.29,4.29,136.426,7.59,7.415,7.57492
KELT-21 b,KELT-21,Transit,2018,A,7598.0,1.638,1.458,-0.405,4.173,470.878,10.484,10.09,10.5415
KELT-23 A b,KELT-23 A,Transit,2019,G,5899.0,0.996,0.944,-0.105,4.417,126.261,10.308,8.904,10.182
KELT-24 b,KELT-24,Transit,2019,F,6426.0,1.338,1.268,0.138,4.287,96.5173,8.34,7.154,8.23752
KELT-4 A b,KELT-4 A,Transit,2016,F,6206.0,1.603,1.201,-0.116,4.108,218.05,9.98,8.689,9.95702
KELT-6 b,KELT-6,Transit,2014,F,6102.0,1.73,1.42,-0.28,4.07,240.726,10.371,9.083,10.1934
KELT-6 c,KELT-6,Radial Velocity,2015,F,6272.0,1.529,1.126,-0.27,4.12,240.726,10.371,9.083,10.1934
KELT-7 b,KELT-7,Transit,2015,F,6768.0,1.81,1.76,0.0,4.5,136.681,8.56,7.543,8.45173
KELT-8 b,KELT-8,Transit,2015,G,5754.0,1.46,0.81,0.27,4.08,197.572,10.845,9.177,10.6699
KELT-9 b,KELT-9,Transit,2017,B,10170.0,2.362,2.52,-0.03,4.093,204.455,7.55,7.482,7.57675
KIC 7917485 b,KIC 7917485,Pulsation Timing Variations,2016,A,7067.0,2.009938,1.63,-0.02,4.0,1382.89,13.166,12.111,13.1092
KOBE-1 b,KOBE-1,Radial Velocity,2025,K,4135.0,0.619,0.629,-0.01,5.07,23.9718,10.1,6.656,9.47126
KOBE-1 c,KOBE-1,Radial Velocity,2025,K,4135.0,0.619,0.629,-0.01,5.07,23.9718,10.1,6.656,9.47126
