pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
TOI-1080 b,TOI-1080,Transit,2026,M,3065.0,0.2019,0.1667,-0.09,5.049,25.559,15.349,10.17,14.0343
TOI-1107 b,TOI-1107,Transit,2022,F,6311.0,1.81,1.35,-0.1,4.05,281.314,10.553,9.205,10.3745
TOI-1117 b,TOI-1117,Transit,2025,G,5635.0,1.05,0.97,0.136,4.41,167.598,11.016,9.385,10.8621
TOI-1117 c,TOI-1117,Radial Velocity,2025,G,5635.0,1.05,0.97,0.136,4.41,167.598,11.016,9.385,10.8621
TOI-1117 d,TOI-1117,Radial Velocity,2025,G,5635.0,1.05,0.97,0.136,4.41,167.598,11.016,9.385,10.8621
TOI-1130 b,TOI-1130,Transit,2020,K,4360.0,0.697,0.745,0.11,4.55,58.2609,11.595,8.351,10.9028
TOI-1130 c,TOI-1130,Transit,2020,K,4360.0,0.697,0.745,0.11,4.55,58.2609,11.595,8.351,10.9028
TOI-1135 b,TOI-1135,Transit,2024,G,6320.0,1.202,1.119,-0.039,4.328,114.048,9.54,8.192,9.41353
TOI-1173 b,TOI-1173,Transit,2024,G,5350.0,0.934,0.911,0.139,4.45,132.353,11.038,9.134,10.8041
TOI-1181 b,TOI-1181,Transit,2022,F,6054.0,1.961,1.467,0.38,4.02,302.819,10.582,9.22,10.4776
TOI-1201 b,TOI-1201,Transit,2021,M,3476.0,0.508,0.512,0.05,4.8,37.8871,12.26,8.646,12.0966
TOI-1203 b,TOI-1203,Radial Velocity,2025,G,5737.0,1.179,0.886,-0.39,4.34,64.9943,8.59,6.997,8.42196
TOI-1203 c,TOI-1203,Radial Velocity,2025,G,5737.0,1.179,0.886,-0.39,4.34,64.9943,8.59,6.997,8.42196
TOI-1203 e,TOI-1203,Radial Velocity,2025,G,5737.0,1.179,0.886,-0.39,4.34,64.9943,8.59,6.997,8.42196
TOI-1203.01,TOI-1203,Transit,2021,G,5737.0,1.179,0.886,-0.39,4.34,64.9943,8.59,6.997,8.42196
TOI-1231 b,TOI-1231,Transit,2021,M,3553.0,0.476,0.485,0.041,4.767,27.6227,12.36,8.069,11.36
TOI-1232 b,TOI-1232,Transit,2026,G,5823.0,1.072,1.058,0.18,4.403,328.604,12.68,10.697,12.2653
TOI-1232 c,TOI-1232,Transit Timing Variations,2026,G,5823.0,1.072,1.058,0.18,4.403,328.604,12.68,10.697,12.2653
TOI-1233.01,HD 108236,Transit,2021,G,5660.0,0.877,0.869,-0.28,4.49,64.5978,9.25,7.637,9.08745
TOI-1235 b,TOI-1235,Transit,2020,M,3997.0,0.619,0.63,0.33,4.64,39.6345,11.495,7.893,10.8492
TOI-1238 b,TOI-1238,Transit,2022,K,4089.0,0.58,0.59,0.31,4.63,70.7145,12.796,9.184,12.2219
TOI-1238 c,TOI-1238,Transit,2022,K,4089.0,0.58,0.59,0.31,4.63,70.7145,12.796,9.184,12.2219
TOI-1243 b,TOI-1243,Transit,2026,M,3515.0,0.511,0.515,-0.2,4.73,43.1865,13.427,8.878,12.359
TOI-1246 b,TOI-1246,Transit,2022,K,5151.0,0.86,0.87,0.17,4.4,169.422,11.632,9.907,11.7291
TOI-1246 c,TOI-1246,Transit,2022,K,5213.0,0.8649,0.8889,0.168,4.51,169.422,11.632,9.907,11.7291
TOI-1246 d,TOI-1246,Transit,2022,K,5213.0,0.8649,0.8889,0.168,4.51,169.422,11.632,9.907,11.7291
TOI-1246 e,TOI-1246,Transit,2022,K,5213.0,0.8649,0.8889,0.168,4.51,169.422,11.632,9.907,11.7291
TOI-125 b,TOI-125,Transit,2019,K,5320.0,0.848,0.859,-0.02,4.516,111.059,11.023,8.995,10.718
TOI-125 c,TOI-125,Transit,2019,K,5320.0,0.848,0.859,-0.02,4.516,111.059,11.023,8.995,10.718
TOI-125 d,TOI-125,Transit,2020,K,5320.0,0.848,0.859,-0.02,4.516,111.059,11.023,8.995,10.718
TOI-1260 b,TOI-1260,Transit,2021,K,4227.0,0.672,0.679,-0.1,4.57,73.5977,11.922,8.95,11.5743
TOI-1260 c,TOI-1260,Transit,2021,K,4227.0,0.672,0.679,-0.1,4.57,73.5977,11.922,8.95,11.5743
TOI-1260 d,TOI-1260,Transit,2022,K,4227.0,0.672,0.679,-0.1,4.57,73.5977,11.922,8.95,11.5743
TOI-1266 b,TOI-1266,Transit,2020,M,3563.0,0.4232,0.437,-0.109,4.826,36.0118,12.941,8.84,12.1222
TOI-1266 c,TOI-1266,Transit,2020,M,3563.0,0.4232,0.437,-0.109,4.826,36.0118,12.941,8.84,12.1222
TOI-1266 d,TOI-1266,Transit Timing Variations,2025,M,3563.0,0.4232,0.437,-0.109,4.826,36.0118,12.941,8.84,12.1222
TOI-1268 b,TOI-1268,Transit,2022,K,5300.0,0.92,0.96,0.36,4.55,109.557,10.92,8.911,10.692
TOI-1272 b,TOI-1272,Transit,2022,K,4985.0,0.8,0.828,0.1,4.551,137.572,11.758,9.701,11.6
TOI-1278 b,TOI-1278,Transit,2021,M,3799.0,0.573,0.54,-0.01,4.68,75.5759,13.502,9.735,12.7543
TOI-1288 b,TOI-1288,Transit,2022,G,5388.0,0.9583,0.9552,0.257,4.453,114.865,10.445,8.779,10.4468
TOI-1288 c,TOI-1288,Radial Velocity,2022,G,5388.0,0.9583,0.9552,0.257,4.453,114.865,10.445,8.779,10.4468
TOI-1295 b,TOI-1295,Transit,2024,F,6280.0,1.7,1.38,0.26,4.1,388.227,11.303,10.08,11.1307
TOI-132 b,TOI-132,Transit,2020,G,5397.0,0.9,0.97,0.16,4.48,163.678,11.197,9.646,11.3208
TOI-1338 b,TOI-1338 A,Transit,2020,F,5723.2,1.313,1.0936,0.01,4.0,399.017,11.722,10.635,11.8764
TOI-1338 c,TOI-1338 A,Radial Velocity,2023,F,5723.2,1.313,1.0936,0.01,4.0,399.017,11.722,10.635,11.8764
TOI-1386 b,TOI-1386,Transit,2024,G,5735.0,1.0235,1.0363,0.149,4.431,146.858,10.61,9.086,10.5069
TOI-1386 c,TOI-1386,Radial Velocity,2024,G,5735.0,1.0235,1.0363,0.149,4.431,146.858,10.61,9.086,10.5069
TOI-1408 b,TOI-1408,Transit,2023,F,6117.0,1.53,1.312,0.25,4.1,139.484,9.270001,8.078,9.18795
TOI-1408 c,TOI-1408,Transit Timing Variations,2024,F,6117.0,1.53,1.312,0.25,4.1,139.484,9.270001,8.078,9.18795
TOI-1416 b,TOI-1416,Transit,2023,G,4884.0,0.793,0.798,0.08,4.52,55.0135,9.91,7.708,9.65254
TOI-1422 b,TOI-1422,Transit,2022,G,5840.0,1.019,0.9903,-0.028,4.412,155.141,10.622,9.19,10.5521
TOI-1422 c,TOI-1422,Radial Velocity,2025,G,5840.0,1.019,0.9903,-0.028,4.412,155.141,10.622,9.19,10.5521
TOI-1431 b,TOI-1431,Transit,2021,A,7690.0,1.92,1.9,0.09,4.15,148.925,8.03,7.439,7.97561
TOI-1438 b,TOI-1438,Transit,2025,K,5230.0,0.82,0.876,0.03,4.5,110.513,10.957,9.09,10.8549
TOI-1438 c,TOI-1438,Transit,2025,K,5230.0,0.82,0.876,0.03,4.5,110.513,10.957,9.09,10.8549
TOI-1444 b,TOI-1444,Transit,2021,G,5460.0,0.9105,0.9513,0.146,4.496,125.463,10.936,9.061,10.6417
TOI-1450 A b,TOI-1450 A,Transit,2024,M,3437.0,0.483,0.48,-0.12,4.76,22.4467,12.28,7.565,11.2394
TOI-1450 A c,TOI-1450 A,Transit,2024,M,3437.0,0.483,0.48,-0.12,4.76,22.4467,12.28,7.565,11.2394
TOI-1452 b,TOI-1452,Transit,2022,M,3185.0,0.275,0.249,-0.07,4.95,30.5212,14.354,9.74,13.6233
TOI-1468 b,TOI-1468,Transit,2022,M,3376.0,0.3714,0.3527,-0.01,4.846,24.7399,12.5,8.497,12.1172
TOI-1468 c,TOI-1468,Transit,2022,M,3376.0,0.3714,0.3527,-0.01,4.846,24.7399,12.5,8.497,12.1172
TOI-1470 b,TOI-1470,Transit,2023,M,3709.0,0.469,0.471,0.0,4.77,51.9503,13.459,9.283,12.5555
TOI-1470 c,TOI-1470,Transit,2023,M,3709.0,0.469,0.471,0.0,4.77,51.9503,13.459,9.283,12.5555
TOI-150.01,TOI-150,Transit,2019,F,6255.0,1.526,1.351,0.28,4.13,336.267,11.39,9.94,11.3408
TOI-1516 b,TOI-1516,Transit,2022,F,6520.0,1.14,1.14,-0.05,4.25,247.054,10.858,9.669,10.7156
TOI-1518 b,TOI-1518,Transit,2021,F,7299.0,1.942,1.88,-0.1,4.136,225.888,8.952,8.325,8.89529
TOI-157 b,TOI-157,Transit,2020,G,5404.0,1.167,0.948,0.24,4.281,355.683,12.725,10.892,12.5143
TOI-159 b,TOI-159,Transit,2026,F,7287.0,1.62,1.661,0.3,4.23,347.593,11.021,9.758,10.8504
TOI-163 b,TOI-163,Transit,2019,F,6495.0,1.648,1.4352,0.22,4.187,411.719,11.467,10.124,11.2193
TOI-1634 b,TOI-1634,Transit,2021,M,3550.0,0.45,0.502,0.23,4.833,35.2736,13.217,8.6,12.1965
TOI-1634 c,TOI-1634,Radial Velocity,2022,M,3472.0,0.45,0.451,0.19,4.787,35.2736,13.217,8.6,12.1965
TOI-1670 b,TOI-1670,Transit,2022,F,6170.0,1.316,1.21,0.09,4.29,168.067,9.889,8.724,9.81934
TOI-1670 c,TOI-1670,Transit,2022,F,6170.0,1.316,1.21,0.09,4.29,168.067,9.889,8.724,9.81934
TOI-1680 b,TOI-1680,Transit,2023,M,3225.0,0.2106,0.1798,0.04,5.046,37.2209,15.87,10.821,14.6457
TOI-1685 b,TOI-1685,Transit,2021,M,3470.0,0.462,0.466,0.01,4.68,37.6153,13.378,8.758,12.2956
TOI-169 b,TOI-169,Transit,2020,G,5880.0,1.288,1.147,0.24,4.278,407.84,12.355,10.815,12.2379
TOI-1694 b,TOI-1694,Transit,2023,K,5005.0,0.812,0.828,0.04,4.536,124.68,11.446,9.425,11.3103
TOI-1694 c,TOI-1694,Radial Velocity,2023,K,5005.0,0.812,0.828,0.04,4.536,124.68,11.446,9.425,11.3103
TOI-1695 b,TOI-1695,Transit,2022,M,3690.0,0.515,0.513,0.0,4.725,45.1309,12.989,8.818,12.1364
TOI-1696 b,TOI-1696,Transit,2022,M,3185.0,0.2775,0.255,0.336,4.959,64.9172,16.82,11.331,15.3314
TOI-1710 b,TOI-1710,Transit,2022,G,5730.0,0.968,1.0258,0.147,4.486,81.2271,9.545,7.959,9.35983
TOI-1728 b,TOI-1728,Transit,2020,M,3980.0,0.6243,0.646,0.25,4.657,60.798,12.39,8.803001,11.7294
TOI-1743 b,TOI-1743,Transit,2025,M,3277.0,0.338,0.339,0.22,4.909,41.2758,14.972,9.999,13.7291
TOI-1749 b,TOI-1749,Transit,2021,M,3985.0,0.55,0.58,-0.26,4.7,99.5561,13.86,10.27,13.1798
TOI-1749 c,TOI-1749,Transit,2021,M,3985.0,0.55,0.58,-0.26,4.7,99.5561,13.86,10.27,13.1798
TOI-1749 d,TOI-1749,Transit,2021,M,3985.0,0.55,0.58,-0.26,4.7,99.5561,13.86,10.27,13.1798
TOI-1752 b,TOI-1752,Transit,2026,M,3762.0,0.53,0.524,-0.11,4.71,103.021,14.62,10.545,13.8174
TOI-1752 c,TOI-1752,Transit,2026,M,3762.0,0.53,0.524,-0.11,4.71,103.021,14.62,10.545,13.8174
TOI-1759 b,TOI-1759,Transit,2022,M,4065.0,0.597,0.606,0.05,4.65,40.0654,11.93,7.93,10.8385
TOI-178 b,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-178 c,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-178 d,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-178 e,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-178 f,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-178 g,TOI-178,Transit,2021,K,4316.0,0.662,0.647,-0.23,4.45,62.699,11.955,8.656,11.1523
TOI-1789 b,TOI-1789,Transit,2021,F,5991.0,2.168,1.507,0.373,3.943,229.067,9.721,8.345,9.58439
TOI-1801 b,TOI-1801,Transit,2023,M,3863.0,0.547,0.556,-0.19,4.78,30.6796,11.58,7.805,10.8269
TOI-181 b,TOI-181,Transit,2023,K,4994.0,0.745,0.822,0.272,4.608,96.2338,11.191,9.047,11.0857
TOI-1853 b,TOI-1853,Transit,2023,K,4985.0,0.808,0.837,0.11,4.49,165.105,12.178,10.055,11.9474
TOI-1860 b,TOI-1860,Transit,2022,G,5752.0,0.94,0.99,0.04,4.58,45.864,8.4,6.792,8.23223
TOI-1883 b,TOI-1883,Transit,2024,M,3554.0,0.506,0.495,0.32,4.719,115.369,15.792,10.994,14.5242
TOI-1899 b,TOI-1899,Transit,2020,M,3926.0,0.607,0.632,0.28,4.672,128.438,14.88,10.509,13.5553
TOI-198 b,TOI-198,Transit,2023,M,3801.0,0.418,0.417,-0.66,4.81,23.7262,11.688,7.856,10.9187
TOI-199 b,TOI-199,Transit,2023,G,5255.0,0.82,0.936,0.22,4.582,102.27,10.701,8.814,10.5784
TOI-199 c,TOI-199,Transit Timing Variations,2023,G,5255.0,0.82,0.936,0.22,4.582,102.27,10.701,8.814,10.5784
TOI-201 b,TOI-201,Transit,2021,F,6423.0,1.31,1.32,0.24,4.318,113.825,9.07,7.846,8.94004
TOI-201 c,TOI-201,Transit Timing Variations,2025,F,6423.0,1.31,1.32,0.24,4.318,113.825,9.07,7.846,8.94004
TOI-201 d,TOI-201,Transit,2026,F,6423.0,1.31,1.32,0.24,4.318,113.825,9.07,7.846,8.94004
TOI-2010 b,TOI-2010,Transit,2023,F,5929.0,1.079,1.112,0.168,4.417,109.19,9.849,8.281,9.69568
TOI-2015 b,TOI-2015,Transit,2023,M,3297.0,0.3273,0.3041,-0.31,5.04,47.3444,16.11,10.263,14.176
TOI-2015 c,TOI-2015,Transit Timing Variations,2025,M,3297.0,0.3273,0.3041,-0.31,5.04,47.3444,16.11,10.263,14.176
TOI-2018 b,TOI-2018,Transit,2023,K,4174.0,0.62,0.57,-0.58,4.62,27.9956,10.25,7.104,9.71999
TOI-2046 b,TOI-2046,Transit,2022,F,6250.0,1.21,1.13,-0.06,4.3,289.668,11.552,10.094,11.4128
TOI-2048 b,TOI-2048,Transit,2022,G,5185.0,0.79,0.83,0.02,4.6,116.567,11.431,9.439,11.3252
TOI-2076 b,TOI-2076,Transit,2021,K,5187.0,0.758,0.849,-0.09,4.608,41.9091,9.139,7.115,8.91028
TOI-2076 c,TOI-2076,Transit,2021,K,5187.0,0.758,0.849,-0.09,4.608,41.9091,9.139,7.115,8.91028
TOI-2076 d,TOI-2076,Transit,2021,K,5187.0,0.758,0.849,-0.09,4.608,41.9091,9.139,7.115,8.91028
TOI-2076 e,TOI-2076,Transit,2025,K,5187.0,0.758,0.849,-0.09,4.608,41.9091,9.139,7.115,8.91028
TOI-2081 b,TOI-2081,Transit,2022,M,3800.0,0.534,0.54,-0.5,4.5,62.3446,13.369,9.523,12.6594
TOI-2084 b,TOI-2084,Transit,2023,M,3551.0,0.475,0.453,-0.13,4.75,114.549,15.115,11.148,14.4096
TOI-2093 b,TOI-2093,Radial Velocity,2025,K,4426.0,0.729,0.745,-0.08,4.87,82.7982,11.925,8.975,11.3685
TOI-2093 c,TOI-2093,Transit,2025,K,4426.0,0.729,0.745,-0.08,4.87,82.7982,11.925,8.975,11.3685
TOI-2094 b,TOI-2094,Transit,2026,M,3435.0,0.384,0.425,-0.06,4.89,50.0248,14.409,9.97,13.4537
TOI-2095 b,TOI-2095,Transit,2023,M,3759.0,0.44,0.44,-0.24,5.11,41.9176,13.19,8.988,12.094
TOI-2095 c,TOI-2095,Transit,2023,M,3759.0,0.44,0.44,-0.24,5.11,41.9176,13.19,8.988,12.094
TOI-2096 b,TOI-2096,Transit,2023,M,3300.0,0.235,0.231,-0.03,5.05,48.4809,15.92,11.021,14.7736
TOI-2096 c,TOI-2096,Transit,2023,M,3300.0,0.235,0.231,-0.03,5.05,48.4809,15.92,11.021,14.7736
TOI-2109 b,TOI-2109,Transit,2021,F,6540.0,1.698,1.453,0.068,4.139,262.041,10.217,9.07,10.1138
TOI-2134 b,TOI-2134,Transit,2023,K,4580.0,0.709,0.744,0.12,4.8,22.6202,8.933,6.091,8.5077
TOI-2134 c,TOI-2134,Transit,2023,K,4580.0,0.709,0.744,0.12,4.8,22.6202,8.933,6.091,8.5077
TOI-2136 b,TOI-2136,Transit,2022,M,3342.0,0.34,0.34,0.03,4.91,33.3631,14.32,9.343,12.9643
TOI-2152 A b,TOI-2152,Transit,2023,F,6630.0,1.612,1.516,0.282,4.205,303.006,11.436,9.597,11.2407
TOI-2180 b,TOI-2180,Transit,2022,G,5695.0,1.636,1.111,0.253,4.057,116.685,9.162,7.604,9.01133
TOI-2196 b,TOI-2196,Transit,2022,G,5634.0,1.043,1.032,0.14,4.42,259.947,12.297,10.346,11.8259
TOI-220 b,TOI-220,Transit,2021,K,5298.0,0.858,0.825,-0.217,4.37,90.7402,10.466,8.542,10.1897
TOI-2202 b,TOI-2202,Transit,2021,K,5169.0,0.808,0.841,0.059,4.548,235.933,13.004,10.8,12.7606
TOI-2202 c,TOI-2202,Transit Timing Variations,2021,K,5144.0,0.794,0.823,0.04,4.55,235.933,13.004,10.8,12.7606
TOI-2257 b,TOI-2257,Transit,2021,M,3430.0,0.313,0.328,-0.27,4.971,57.7911,15.211,10.673,14.1615
TOI-2260 b,TOI-2260,Transit,2022,G,5534.0,0.94,0.99,0.22,4.62,101.251,10.474,8.684,10.2488
TOI-2267 b,TOI-2267 A,Transit,2025,M,3030.0,0.2075,0.171,0.164,4.99,22.55,15.56,9.459,13.7623
TOI-2267 c,TOI-2267 A,Transit,2025,M,3030.0,0.2075,0.171,0.164,4.99,22.55,15.56,9.459,13.7623
TOI-2322 b,TOI-2322,Transit,2025,K,4664.0,0.662,0.703,-0.12,4.57,59.861,10.912,8.369,10.7489
TOI-2322 c,TOI-2322,Transit,2025,K,4664.0,0.662,0.703,-0.12,4.57,59.861,10.912,8.369,10.7489
TOI-2345 b,TOI-2345,Transit,2025,K,4687.0,0.729,0.727,-0.1,4.57,81.6541,11.483,8.847,11.0278
TOI-2345 c,TOI-2345,Transit,2025,K,4687.0,0.729,0.727,-0.1,4.57,81.6541,11.483,8.847,11.0278
TOI-237 b,TOI-237,Transit,2020,M,3212.0,0.211,0.179,-0.3443,5.04,38.0749,16.37,10.896,14.754
TOI-237 c,TOI-237,Transit,2026,M,3226.0,0.2056,0.1698,-0.3443,5.0494,38.0749,16.37,10.896,14.754
TOI-238 b,TOI-238,Transit,2024,K,5059.0,0.756,0.781,-0.114,4.58,80.5407,10.748,8.598,10.4883
TOI-238 c,TOI-238,Radial Velocity,2024,K,5059.0,0.733,0.79,-0.114,4.577,80.5407,10.748,8.598,10.4883
TOI-2431 b,TOI-2431,Transit,2026,K,4109.0,0.651,0.661,-0.02,4.68,36.0559,10.9,7.554,10.3234
TOI-244 b,TOI-244,Transit,2023,M,3433.0,0.426,0.428,-0.39,4.66,22.0337,12.861,7.97,11.553
TOI-2443 b,TOI-2443,Transit,2023,K,4375.0,0.631,0.642,-0.29,4.42,23.9258,9.51,6.5,9.0333
TOI-2449 b,TOI-2449,Transit,2025,G,6021.0,1.065,1.079,-0.03,4.4,156.786,10.416,9.073,10.2924
TOI-2458 b,TOI-2458,Transit,2024,F,6005.0,1.31,1.05,-0.1,4.2,112.958,9.202,7.891,9.09716
TOI-2458 c,TOI-2458,Radial Velocity,2024,F,6005.0,1.31,1.05,-0.1,4.2,112.958,9.202,7.891,9.09716
TOI-2525 b,TOI-2525,Transit,2023,K,5096.0,0.785,0.849,0.14,4.58,395.398,14.216,11.905,14.012
TOI-2525 c,TOI-2525,Transit,2023,K,5096.0,0.785,0.849,0.14,4.58,395.398,14.216,11.905,14.012
TOI-2580 b,TOI-2580,Transit,2024,F,6120.0,1.81,1.33,0.26,4.15,379.253,11.419,9.877,11.2548
TOI-260 b,TOI-260,Transit,2024,K,4026.0,0.607,0.616,-0.47,4.45,20.1852,9.9,6.549,9.3124
TOI-262 b,TOI-262,Transit,2023,K,5310.0,0.853,0.913,0.26,4.54,43.932,8.91,6.967,8.66859
TOI-2641 b,TOI-2641,Transit,2023,F,6100.0,1.336,1.16,-0.15,4.2,344.045,11.693,10.325,11.5712
TOI-269 b,TOI-269,Transit,2021,M,3514.0,0.398,0.3917,-0.29,4.831,57.0225,14.37,10.1,13.4258
TOI-270 b,TOI-270,Transit,2019,M,3506.0,0.38,0.386,-0.17,4.872,22.4793,12.603,8.251,11.6306
TOI-270 c,TOI-270,Transit,2019,M,3506.0,0.38,0.386,-0.17,4.872,22.4793,12.603,8.251,11.6306
TOI-270 d,TOI-270,Transit,2019,M,3506.0,0.38,0.386,-0.17,4.872,22.4793,12.603,8.251,11.6306
TOI-283 b,TOI-283,Transit,2025,K,5213.0,0.85,0.8,-0.09,4.5,82.7013,10.41,8.517,10.1971
TOI-286 b,TOI-286,Transit,2024,K,5152.0,0.78,0.832,-0.05,4.59,59.2293,9.866,7.851,9.65064
TOI-286 c,TOI-286,Transit,2024,K,5152.0,0.78,0.832,-0.05,4.59,59.2293,9.866,7.851,9.65064
TOI-2969 b,TOI-2969,Transit,2025,K,4738.0,0.7,0.71,0.08,4.56,163.996,12.796,10.25,12.6195
TOI-2989 b,TOI-2989,Transit,2025,K,4672.0,0.76,0.77,-0.04,4.58,195.795,13.859,10.861,13.4755
TOI-3235 b,TOI-3235,Transit,2023,M,3388.8,0.3697,0.3939,0.264,4.8976,72.811,15.16,10.819,14.4858
TOI-3261 b,TOI-3261,Transit,2024,K,5068.0,0.849,0.861,0.138,4.19,300.141,13.261,11.184,13.0582
TOI-3288 b,TOI-3288,Transit,2025,M,4072.0,0.672,0.643,0.65,4.592,200.5,14.979,11.201,14.2497
TOI-332 b,TOI-332,Transit,2023,K,5251.0,0.87,0.88,0.256,4.46,222.852,12.349,10.315,12.063
TOI-3493 b,TOI-3493,Transit,2025,G,5844.0,1.228,1.023,0.03,4.25,96.7224,9.317,7.776,9.12029
TOI-3629 b,TOI-3629,Transit,2022,M,3870.0,0.6,0.63,0.4,4.67,130.091,14.639,10.553,13.8375
TOI-3714 b,TOI-3714,Transit,2022,M,3660.0,0.51,0.53,0.1,4.75,112.71,15.7,10.852,14.3107
TOI-3757 b,TOI-3757,Transit,2022,M,3913.0,0.62,0.64,0.0,4.68,181.139,14.812,11.152,14.1321
TOI-3785 b,TOI-3785,Transit,2023,M,3576.0,0.5,0.52,0.099,4.747,79.7634,14.595,10.165,13.6559
TOI-3884 b,TOI-3884,Transit,2022,M,3180.0,0.302,0.298,0.04,4.97,43.1448,15.744,10.24,14.2747
TOI-3984 A b,TOI-3984 A,Transit,2023,M,3476.0,0.47,0.49,0.18,4.81,108.883,15.694,11.052,14.6718
TOI-4010 b,TOI-4010,Transit,2023,K,4960.0,0.83,0.88,0.37,4.54,177.504,12.291,10.157,12.1216
TOI-4010 c,TOI-4010,Transit,2023,K,4960.0,0.83,0.88,0.37,4.54,177.504,12.291,10.157,12.1216
TOI-4010 d,TOI-4010,Transit,2023,K,4960.0,0.83,0.88,0.37,4.54,177.504,12.291,10.157,12.1216
TOI-4010 e,TOI-4010,Radial Velocity,2023,K,4960.0,0.83,0.88,0.37,4.54,177.504,12.291,10.157,12.1216
TOI-406 c,TOI-406,Transit,2024,M,3392.0,0.41,0.408,-0.02,4.69,31.0597,13.773,8.848,12.5528
TOI-406.01,TOI-406,Transit,2024,M,3392.0,0.41,0.408,-0.02,4.69,31.0597,13.773,8.848,12.5528
TOI-411 b,HD 22946,Transit,2022,F,6169.0,1.117,1.098,-0.08,4.47,62.7792,8.270001,6.981,8.1281
TOI-411 c,HD 22946,Transit,2022,F,6169.0,1.117,1.098,-0.08,4.47,62.7792,8.270001,6.981,8.1281
TOI-4127 b,TOI-4127,Transit,2023,F,6096.0,1.293,1.23,0.14,4.26,319.632,11.441,10.245,11.4122
TOI-4184 b,TOI-4184,Transit,2023,M,3238.0,0.2347,0.2109,-0.27,5.01,69.3649,17.12,11.867,15.5939
TOI-4201 b,TOI-4201,Transit,2023,M,3794.0,0.63,0.61,0.52,4.64,189.011,15.163,11.368,14.5001
TOI-421 b,TOI-421,Transit,2020,G,5291.0,0.866,0.833,-0.044,4.48,74.7969,9.931,8.071,9.77776
TOI-421 c,TOI-421,Transit,2020,G,5291.0,0.866,0.833,-0.044,4.48,74.7969,9.931,8.071,9.77776
TOI-4311 b,TOI-4311,Transit,2026,K,5063.0,0.8441,0.816,-0.065,4.442,134.988,11.388,9.488,11.2651
TOI-4311 c,TOI-4311,Transit,2026,K,5063.0,0.8441,0.816,-0.065,4.442,134.988,11.388,9.488,11.2651
TOI-4336 A b,TOI-4336 A,Transit,2024,M,3307.0,0.326,0.306,0.14,4.897,22.5455,13.6,8.632,12.2569
TOI-4336 A c,TOI-4336 A,Transit,2026,M,3307.0,0.326,0.306,0.14,4.897,22.5455,13.6,8.632,12.2569
TOI-4342 b,TOI-4342,Transit,2023,M,3866.0,0.598,0.587,0.26,4.652,61.5204,12.669,9.018,11.9822
TOI-4342 c,TOI-4342,Transit,2023,M,3866.0,0.598,0.587,0.26,4.652,61.5204,12.669,9.018,11.9822
TOI-4364 b,TOI-4364,Transit,2025,M,3528.0,0.4684,0.487,0.148,4.785,43.9662,13.564,9.075,12.5548
TOI-4438 b,TOI-4438,Transit,2024,M,3422.0,0.372,0.368,-0.19,4.68,30.0346,13.69,8.869,12.5196
TOI-444 b,TOI-444,Transit,2023,K,5225.0,0.779,0.96,0.08,4.64,57.3973,9.86,7.832,9.6063
TOI-4465 b,TOI-4465,Transit,2025,G,5545.0,1.014,0.93,-0.06,4.379,121.139,10.427,8.787,10.3255
TOI-4479 b,TOI-4479,Transit,2022,M,3400.0,0.451,0.452,0.0,4.5,80.6532,15.18,10.647,14.1309
TOI-4504 b,TOI-4504,Transit,2024,K,5315.0,0.92,0.89,0.16,4.458,342.605,13.364,11.236,13.1277
TOI-4504 c,TOI-4504,Transit,2024,K,5315.0,0.92,0.89,0.16,4.458,342.605,13.364,11.236,13.1277
TOI-4504 d,TOI-4504,Transit Timing Variations,2024,K,5315.0,0.92,0.89,0.16,4.458,342.605,13.364,11.236,13.1277
TOI-4507 b,TOI-4507,Transit,2025,F,6260.0,1.04,1.11,-0.06,4.45,178.26,10.806,9.381,10.5674
TOI-451 b,TOI-451,Transit,2020,G,5490.0,0.85,0.93,0.02,4.53,123.739,10.939,9.19,10.7498
TOI-451 c,TOI-451,Transit,2020,G,5490.0,0.85,0.93,0.02,4.53,123.739,10.939,9.19,10.7498
TOI-451 d,TOI-451,Transit,2020,G,5490.0,0.85,0.93,0.02,4.53,123.739,10.939,9.19,10.7498
TOI-4515 b,TOI-4515,Transit,2024,G,5433.0,0.86,0.949,0.05,4.48,193.499,11.938,10.134,11.8121
TOI-4529 b,TOI-4529,Transit,2026,M,3697.0,0.48,0.482,-0.24,4.61,28.384,12.214,7.954,11.216
TOI-4552 b,TOI-4552,Transit,2026,M,3258.0,0.2869,0.2619,-0.07,4.94,27.2684,14.44,9.395001,13.2392
TOI-4562 b,TOI-4562,Transit,2023,F,6096.0,1.152,1.192,0.08,4.39,339.605,12.14,10.619,11.9551
